;Wind capacity;Nuclear capacity;Oil shale capacity;Total production;Total surplus;Total shortage;Total unused;Net surplus;Average cost;Difference from arbitrage
0;0.0;0.0;1233.0;9249916.824585404;1113467.7584311906;-252057.64424029004;186018.17812090102;861410.1141909015;128.01679820836063;0.0
1;0.0;1090.0;0.0;9265667.00864192;1120556.0275214547;-249416.4823001269;186362.2123635857;871139.5452213294;97.76538221737624;0.0
2;236.9230769230769;0.0;1155.6153846153845;9230389.35648692;1101238.729465458;-241301.38316857535;160222.7143670446;859937.3462968844;120.17427514576232;0.0
3;236.9230769230769;1021.5384615384617;0.0;9236062.842342008;1108566.825397634;-237717.3961137584;160526.35877076967;870849.4292838788;92.78194440541124;0.0
4;473.8461538461538;0.0;1078.2307692307693;9155725.657551495;1072069.4277295438;-249246.88776243228;128939.72415944531;822822.5399671105;122.51467786076206;0.0
5;473.8461538461538;953.0769230769232;0.0;9178647.938485775;1084759.0867715678;-245542.0016748972;132775.13580198362;839217.0850966712;98.33953964155779;0.0
6;710.7692307692308;0.0;1000.8461538461537;9055420.863862798;1022845.690507296;-281903.04458564945;108237.96396313317;740942.6459216439;119.73867645858846;0.0
7;710.7692307692308;884.6153846153845;0.0;9051155.858144594;1026125.4904432818;-278693.03100512456;100412.74686760259;747432.459438158;99.35822148152796;0.0
8;947.6923076923076;0.0;923.4615384615383;8947513.056000896;967955.3986617086;-332421.20518386835;102773.05584320071;635534.1934778407;118.32655224501657;0.0
9;947.6923076923076;816.1538461538463;0.0;8914212.431793574;958964.8590656674;-328763.6088454924;78498.64761051725;630201.2502201775;101.46356919068906;0.0
10;1184.6153846153848;0.0;846.0769230769231;8859499.817705411;925045.7902366838;-399066.82045822684;121242.09199822097;525978.9697784577;115.78611170859995;0.0
11;1184.6153846153848;747.6923076923076;0.0;8751622.638755372;880432.4452991819;-406565.8586770208;70332.70439540225;473866.58662216115;102.79041238340095;0.0
12;1421.5384615384617;0.0;768.6923076923076;8789843.875705574;898854.3002809023;-485207.80253102834;167629.2223975692;413646.49774987355;114.56561450241414;0.0
13;1421.5384615384617;679.2307692307693;0.0;8649262.641425712;838603.5437949153;-477392.38316317747;84460.83864576626;361211.1606317382;103.91394012121282;0.0
14;1658.4615384615383;0.0;691.3076923076923;8763264.162347566;894731.2125849843;-577362.603763179;241307.02851154053;317368.6088218065;112.40281475631244;0.0
15;1658.4615384615383;610.7692307692307;0.0;8543565.101883061;798933.4101291861;-589435.3583950774;121609.85696974114;209498.05173410903;104.63603260723917;0.0
16;1895.3846153846155;0.0;613.9230769230769;8760722.1939969;901932.4119994388;-689257.458063282;342613.2802112467;212674.95393615504;111.25925462606742;0.0
17;1895.3846153846155;542.3076923076924;0.0;8504976.260522546;799858.6790000191;-699716.425784808;194502.57320056233;100142.2532152126;106.02092859249375;0.0
18;2132.3076923076924;0.0;536.5384615384615;8791637.214621712;922220.5688145487;-804812.0059136641;466628.2386572314;117408.56290088457;108.69140988025534;0.0
19;2132.3076923076924;473.8461538461538;0.0;8518518.192216512;822951.1540383957;-810692.1171733973;303913.27454437956;12259.036864995913;109.36827524944505;0.0
20;2369.230769230769;0.0;459.1538461538462;8841512.072338425;948221.1492524326;-932652.1221983613;616661.7024239377;15569.027054071512;108.3969588865117;0.0
21;2369.230769230769;405.3846153846154;0.0;8553060.859261937;851974.6986482377;-943458.4500919966;438148.4589626245;-91483.75144375527;108.62916863151072;0.0
22;2606.153846153846;0.0;381.76923076923066;8916488.293439792;979538.1300744765;-1060147.3048829832;786493.4639974305;-80609.17480850764;107.65935716411752;0.0
23;2606.153846153846;336.92307692307685;0.0;8639402.638818774;894863.2604778279;-1078191.0329566586;612212.7557728876;-183327.7724788309;110.48159097178431;0.0
24;2843.0769230769233;0.0;304.38461538461536;8974579.46910127;1006512.8685978969;-1209354.2419565504;962308.4664012976;-202841.37335865656;107.1928110229764;0.0
25;2843.0769230769233;268.4615384615384;0.0;8762215.20743697;946587.2457606529;-1209992.6867831284;823899.3333746877;-263405.4410224767;112.47670615033739;0.0
26;3080.0;0.0;227.0;9122790.405791875;1052269.6115657347;-1320810.8871239263;1187744.855153141;-268541.2755581924;107.84713422646705;0.0
27;3080.0;200.0;0.0;8903101.321623236;996963.5974077731;-1349376.5320985026;1047851.7810585813;-352412.93469072954;112.66677492729958;0.0
